utc,pid,rss_bytes,process_hwm_bytes,host_available_bytes,gpu_gpc_cur_hz,gpu_gpc_min_hz,gpu_gpc_max_hz
2026-09-13T07:03:18.330718+00:00,2437930,13718298624,16543862784,116235677696,1575000000,1575000000,1575000000
2026-09-13T07:03:28.331394+00:00,2437930,13769154560,16543862784,116215660544,1575000000,1575000000,1575000000
2026-09-13T07:03:38.332045+00:00,2437930,13822369792,16543862784,116186759168,1575000000,1575000000,1575000000
2026-09-13T07:03:48.334371+00:00,2437930,13873225728,16543862784,116155101184,1575000000,1575000000,1575000000
2026-09-13T07:03:58.335003+00:00,2437930,13924343808,16543862784,116151988224,1575000000,1575000000,1575000000
2026-09-13T07:04:08.335660+00:00,2437930,13974675456,16543862784,116126584832,1575000000,1575000000,1575000000
2026-09-13T07:04:18.336334+00:00,2437930,14027890688,16543862784,116101754880,1575000000,1575000000,1575000000
2026-09-13T07:04:28.337551+00:00,2437930,14078222336,16543862784,115667537920,1575000000,1575000000,1575000000
2026-09-13T07:04:38.338195+00:00,2437930,14125932544,16543862784,114855055360,1575000000,1575000000,1575000000
2026-09-13T07:04:48.338890+00:00,2437930,14170759168,16543862784,115663753216,1575000000,1575000000,1575000000
2026-09-13T07:04:58.339594+00:00,2437930,14221090816,16543862784,115789484032,1575000000,1575000000,1575000000
2026-09-13T07:05:08.340253+00:00,2437930,14271422464,16543862784,115850375168,1575000000,1575000000,1575000000
2026-09-13T07:05:18.340925+00:00,2437930,14323064832,16543862784,115860230144,1575000000,1575000000,1575000000
2026-09-13T07:05:28.341665+00:00,2437930,14376804352,16543862784,115885432832,1575000000,1575000000,1575000000
2026-09-13T07:05:38.342325+00:00,2437930,14427922432,16543862784,115889549312,1575000000,1575000000,1575000000
2026-09-13T07:05:48.342998+00:00,2437930,14474059776,16543862784,115515367424,1575000000,1575000000,1575000000
2026-09-13T07:05:58.345409+00:00,2437930,14520459264,16543862784,112620691456,1575000000,1575000000,1575000000
2026-09-13T07:06:08.346099+00:00,2437930,14528729088,16543862784,107418906624,1575000000,1575000000,1575000000
2026-09-13T07:06:18.346775+00:00,2437930,14550937600,16543862784,104196153344,1575000000,1575000000,1575000000
2026-09-13T07:06:28.347457+00:00,2437930,14591594496,16543862784,103571804160,1575000000,1575000000,1575000000
2026-09-13T07:06:38.348151+00:00,2437930,14626582528,16543862784,103557533696,1575000000,1575000000,1575000000
2026-09-13T07:06:48.349498+00:00,2437930,14651850752,16543862784,102172884992,1575000000,1575000000,1575000000
2026-09-13T07:06:58.350192+00:00,2437930,14699769856,16543862784,101851918336,1575000000,1575000000,1575000000
2026-09-13T07:07:08.350876+00:00,2437930,14748770304,16543862784,101398409216,1575000000,1575000000,1575000000
