id,stage,family,semantic_label,kernel,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,l2_bytes,ncu_bf16_peak_ops,ncu_dram_peak_bytes,dram_util_pct,tensor_active_pct,sm_util_pct,l2_util_pct,occupancy_pct,issue_active_pct,bf16_counter_peak_pct
475,vlm,FFN down,Vision: FFN down + bias,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera1,33888.00000000001,15092992.0,2566914048.0,1179648.0,80226560.0,7816615936.0,29196288.0,51.69,65.68,65.68,39.14,8.33,8.6,32.84
476,vlm,Norm / residual,Vision: residual / LayerNorm variant 6,triton_red_fused_add_native_layer_norm_view_6,vlm.vision.camera1,4576.0,1324928.0,0.0,11333632.0,2383264.0,1057089536.0,3891200.0,34.05,0.0,17.47,8.69,22.71,28.63,0.0
477,vlm,QKV,Vision: Q projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera1,12192.000000000002,4004224.0,679477248.0,589824.0,22085856.0,2781706240.0,10469376.0,38.25,48.85,48.85,30.25,8.33,9.22,24.43
478,vlm,QKV,Vision: K projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera1,11936.0,3999360.0,679477248.0,589824.0,22085920.0,2726529024.0,10256384.0,38.99,49.84,49.84,30.87,8.33,9.31,24.92
479,vlm,QKV,Vision: V projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera1,12160.0,4001024.0,679477248.0,589824.0,22085184.0,2786373632.0,10485760.0,38.16,48.77,48.77,30.21,8.33,9.25,24.39
480,vlm,Vision attention,Vision: FlashAttention split-KV attention,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera1,14336.000000000002,2096640.0,402653184.0,4259840.0,12284288.0,3332970496.0,12320768.0,17.02,24.16,24.16,18.09,8.3,11.66,12.08
481,vlm,Vision attention,Vision: FlashAttention split-KV combine,"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 16, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera1,6880.0,2702464.0,0.0,2260992.0,3436416.0,1611962368.0,5906432.0,45.75,0.0,11.01,11.49,21.12,14.23,0.0
482,vlm,O projection,Vision: attention output projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera1,12224.0,4002816.0,679477248.0,589824.0,22083200.0,2795395072.0,10518528.0,38.05,48.61,48.61,30.11,8.33,9.19,24.31
483,vlm,Norm / residual,Vision: residual / LayerNorm variant 7,triton_red_fused_add_native_layer_norm_view_7,vlm.vision.camera1,5280.0,1966080.0,0.0,14757888.0,2956288.0,1219883008.0,4489216.0,43.8,0.0,23.06,11.21,40.48,34.08,0.0
484,vlm,FFN up,Vision: FFN up + bias + GELU,triton_tem_fused_addmm_gelu_native_layer_norm_t_view_5,vlm.vision.camera1,30560.0,13043968.0,2566914048.0,15678929.0,82829024.0,6940348416.0,26345472.0,49.51,73.97,73.97,45.31,39.11,12.74,36.99
