id,process_id,device,context,stream,kernel,grid,block,operator,domain,duration_ns,memory_level,memory_bytes,dram_bytes,flops,ai_flops_per_byte,performance_tflops,status
33,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer03._matmul_abt_scale.line1899/_matmul_abt_scale,bf16_tensor,16288.0,l2,2865728.0,,47710208.0,16.64854724523751,2.929163064833006,ok
33,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer03._matmul_abt_scale.line1899/_matmul_abt_scale,fp32_simt,16288.0,l2,2865728.0,,93184.0,0.03251669383835451,0.005721021611001965,ok
34,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer03._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,bf16_tensor,17792.0,l2,562080.0,,0.0,,,zero_counted_flops
34,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer03._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,fp32_simt,17792.0,l2,562080.0,,2528000.0,4.497580415599203,0.14208633093525178,ok
35,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer03._matmul_small.line1921/_matmul_small,bf16_tensor,15392.000000000002,l2,3417472.0,,54525952.0,15.955054496423086,3.5424864864864865,ok
35,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer03._matmul_small.line1921/_matmul_small,fp32_simt,15392.000000000002,l2,3417472.0,,0.0,,,zero_counted_flops
36,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer03._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,bf16_tensor,43104.0,l2,14795488.0,,268435456.0,18.143061992953527,6.22762286562732,ok
36,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer03._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,fp32_simt,43104.0,l2,14795488.0,,131072.0,0.00885891698874684,0.00304083147735709,ok
37,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer03._adarms_norm_kernel.line1945/_adarms_norm_kernel,bf16_tensor,15392.000000000002,l2,464800.0,,0.0,,,zero_counted_flops
37,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer03._adarms_norm_kernel.line1945/_adarms_norm_kernel,fp32_simt,15392.000000000002,l2,464800.0,,358400.0,0.7710843373493976,0.023284823284823283,ok
38,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer03._matmul_small_gate.line1954/_matmul_small_gate,bf16_tensor,80000.0,l2,23316096.0,,1073741824.0,46.05152697947375,13.421772799999998,ok
38,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer03._matmul_small_gate.line1954/_matmul_small_gate,fp32_simt,80000.0,l2,23316096.0,,2883584.0,0.12367353436870392,0.0360448,ok
39,2366711,0,1,7,_matmul_small_res_gate_ffn_down,"(64, 1, 1)","(128, 1, 1)",step00.layer03._matmul_small_res_gate_ffn_down.line1971/_matmul_small_res_gate_ffn_down,bf16_tensor,72128.0,l2,39366784.0,,536870912.0,13.637662451674997,7.443307897071872,ok
39,2366711,0,1,7,_matmul_small_res_gate_ffn_down,"(64, 1, 1)","(128, 1, 1)",step00.layer03._matmul_small_res_gate_ffn_down.line1971/_matmul_small_res_gate_ffn_down,fp32_simt,72128.0,l2,39366784.0,,131072.0,0.003329507434490966,0.0018172138420585624,ok
40,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer04._adarms_norm_kernel.line1854/_adarms_norm_kernel,bf16_tensor,16352.000000000002,l2,461024.0,,0.0,,,zero_counted_flops
40,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer04._adarms_norm_kernel.line1854/_adarms_norm_kernel,fp32_simt,16352.000000000002,l2,461024.0,,358400.0,0.7773998750607344,0.02191780821917808,ok
41,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer04._matmul_rope_qkv.line1863/_matmul_rope_qkv,bf16_tensor,29568.000000000004,l2,13728000.0,,335544320.0,24.442331002331002,11.348225108225108,ok
41,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer04._matmul_rope_qkv.line1863/_matmul_rope_qkv,fp32_simt,29568.000000000004,l2,13728000.0,,442368.0,0.03222377622377622,0.01496103896103896,ok
42,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer04._matmul_abt_scale.line1899/_matmul_abt_scale,bf16_tensor,18656.000000000004,l2,2867776.0,,47710208.0,16.636657814278383,2.5573653516295023,ok
42,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer04._matmul_abt_scale.line1899/_matmul_abt_scale,fp32_simt,18656.000000000004,l2,2867776.0,,93184.0,0.03249347229351247,0.004994854202401372,ok
