group_id,operator,domain,memory_level,invocations,flops,duration_ns,memory_bytes,mean_duration_ns,ai_flops_per_byte,performance_tflops,status
1,"Prefix FFN: GELU product | triton_poi_fused_gelu_mul_split_0 | grid=(29376, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,0.0,5840576.0,1536246848.0,343563.29411764705,,,zero_counted_flops
32,"Vision: residual/LayerNorm fusion 10 | triton_red_fused_add_native_layer_norm_view_10 | grid=(256, 1, 1) block=(64, 1, 1)",bf16_tensor,l2,3,0.0,73280.0,5801248.0,24426.666666666668,,,zero_counted_flops
32,"Vision: residual/LayerNorm fusion 10 | triton_red_fused_add_native_layer_norm_view_10 | grid=(256, 1, 1) block=(64, 1, 1)",fp32_simt,l2,3,14406508.0,73280.0,5801248.0,24426.666666666668,2.483346342028474,0.19659536026200874,ok
33,"Vision: residual/LayerNorm fusion 4 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4 | grid=(64, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,3,0.0,79168.00000000001,14734944.0,26389.33333333334,,,zero_counted_flops
33,"Vision: residual/LayerNorm fusion 4 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4 | grid=(64, 1, 1) block=(256, 1, 1)",fp32_simt,l2,3,18874368.0,79168.00000000001,14734944.0,26389.33333333334,1.2809256689404453,0.23840905416329827,ok
34,"Vision: residual/LayerNorm fusion 6 | triton_red_fused_add_native_layer_norm_view_6 | grid=(128, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,39,0.0,852512.0,75047648.0,21859.28205128205,,,zero_counted_flops
34,"Vision: residual/LayerNorm fusion 6 | triton_red_fused_add_native_layer_norm_view_6 | grid=(128, 1, 1) block=(128, 1, 1)",fp32_simt,l2,39,203286728.0,852512.0,75047648.0,21859.28205128205,2.7087688077846224,0.23845614841785218,ok
35,"Vision: residual/LayerNorm fusion 7 | triton_red_fused_add_native_layer_norm_view_7 | grid=(256, 1, 1) block=(64, 1, 1)",bf16_tensor,l2,39,0.0,945664.0,99707168.0,24247.79487179487,,,zero_counted_flops
35,"Vision: residual/LayerNorm fusion 7 | triton_red_fused_add_native_layer_norm_view_7 | grid=(256, 1, 1) block=(64, 1, 1)",fp32_simt,l2,39,210283916.0,945664.0,99707168.0,24247.79487179487,2.109015030895271,0.22236641767054685,ok
36,"Vision: residual/LayerNorm fusion 8 | triton_red_fused_add_native_layer_norm_view_8 | grid=(256, 1, 1) block=(64, 1, 1)",bf16_tensor,l2,39,0.0,1060992.0,124875168.0,27204.923076923078,,,zero_counted_flops
36,"Vision: residual/LayerNorm fusion 8 | triton_red_fused_add_native_layer_norm_view_8 | grid=(256, 1, 1) block=(64, 1, 1)",fp32_simt,l2,39,258146304.0,1060992.0,124875168.0,27204.923076923078,2.0672348885248346,0.2433065508505248,ok
37,"Vision: residual/LayerNorm fusion 9 | triton_red_fused_add_native_layer_norm_view_9 | grid=(256, 1, 1) block=(512, 1, 1)",bf16_tensor,l2,39,0.0,1148672.0,166774240.0,29453.128205128207,,,zero_counted_flops
37,"Vision: residual/LayerNorm fusion 9 | triton_red_fused_add_native_layer_norm_view_9 | grid=(256, 1, 1) block=(512, 1, 1)",fp32_simt,l2,39,854331936.0,1148672.0,166774240.0,29453.128205128207,5.1226852300451196,0.7437562123913528,ok
