id,kernel,grid,block,stage,family,module,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,dram_util_pct,tensor_active_pct
774,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(3672, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,13216.0,4505856.0,0.0,1880064.0,39.66,0.0
775,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)","(2, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,1920.0000000000002,14464.0,0.0,4096.0,0.91,0.0
776,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(7344, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,12448.0,8567424.0,0.0,1880064.0,80.2,0.0
777,"void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,11872.0,8387712.0,0.0,0.0,82.11,0.0
778,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params),"(120, 5, 1)","(128, 1, 1)",vlm,QKV,paligemma_with_expert.paligemma.model.language_model.layers.14.self_attn.qkv_proj,vlm|QKV|paligemma_with_expert.paligemma.model.language_model.layers.14.self_attn.qkv_proj,100608.00000000001,17848704.0,10066329600.0,4915200.0,20.56,87.26
779,triton_poi_fused__to_copy_add_cat_mul_neg_slice_unsqueeze_0,"(3672, 1, 1)","(256, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,17280.0,5477888.0,0.0,7520256.0,36.86,0.0
780,triton_poi_fused__to_copy_add_cat_mul_neg_slice_unsqueeze_1,"(459, 1, 1)","(256, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,4128.0,1598720.0,0.0,940032.0,45.49,0.0
781,"void cutlass::device_kernel<flash::enable_sm80_to_sm89<flash::FlashAttnFwdSm80<flash::CollectiveMainloopFwdSm80<8, 1, 1, cute::tuple<cute::C<128>, cute::C<64>, cute::C<256>>, 256, cutlass::bfloat16_t, float, arch::Sm80, 0, 0, 0, 0, 0, 0, 1, 0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<128>, cute::C<256>, cute::C<64>>, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::bfloat16_t, arch::Sm80, 256, 0, 1, 0, 0>, flash::SingleTileScheduler<0, 0, 1, 128>>>>(T1::Params)","(58, 1, 1)","(256, 1, 1)",vlm,Attention (fused),paligemma_with_expert.paligemma.model.language_model.layers.14.self_attn.attn,vlm|Attention (fused)|paligemma_with_expert.paligemma.model.language_model.layers.14.self_attn.attn,120544.0,5334016.0,7298088960.0,51730032.0,5.13,51.21
782,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn,"(16, 15, 1)","(128, 1, 1)",vlm,O projection,paligemma_with_expert.paligemma.model.language_model.layers.14.self_attn.o_proj,vlm|O projection|paligemma_with_expert.paligemma.model.language_model.layers.14.self_attn.o_proj,87936.0,15206656.0,8053063680.0,5898240.0,20.05,78.42
783,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,12000.0,8411008.0,0.0,3760128.0,81.62,0.0
784,"void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","(3672, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.post_attention_layernorm,10336.0,4411008.0,0.0,0.0,49.72,0.0
785,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.post_attention_layernorm,12288.000000000002,8448256.0,0.0,1880064.0,80.19,0.0
